# Age      Mass       Teff       logL       logg       logR
4.6537e+07 4.6638e-01 2.6831e+04 1.2243e+00 5.5517e+00 -7.2246e-01
4.6595e+07 4.6638e-01 2.6830e+04 1.2244e+00 5.5516e+00 -7.2239e-01
4.6652e+07 4.6638e-01 2.6830e+04 1.2245e+00 5.5515e+00 -7.2233e-01
4.6709e+07 4.6638e-01 2.6829e+04 1.2246e+00 5.5514e+00 -7.2227e-01
4.6766e+07 4.6638e-01 2.6828e+04 1.2246e+00 5.5512e+00 -7.2221e-01
4.6823e+07 4.6638e-01 2.6827e+04 1.2247e+00 5.5511e+00 -7.2214e-01
4.6879e+07 4.6638e-01 2.6827e+04 1.2248e+00 5.5510e+00 -7.2208e-01
4.6933e+07 4.6638e-01 2.6826e+04 1.2249e+00 5.5508e+00 -7.2201e-01
4.6986e+07 4.6638e-01 2.6826e+04 1.2250e+00 5.5507e+00 -7.2194e-01
4.7038e+07 4.6638e-01 2.6826e+04 1.2251e+00 5.5506e+00 -7.2187e-01
4.7089e+07 4.6638e-01 2.6826e+04 1.2253e+00 5.5504e+00 -7.2181e-01
4.7139e+07 4.6638e-01 2.6825e+04 1.2254e+00 5.5503e+00 -7.2174e-01
4.7189e+07 4.6638e-01 2.6825e+04 1.2255e+00 5.5502e+00 -7.2168e-01
4.7238e+07 4.6638e-01 2.6825e+04 1.2256e+00 5.5500e+00 -7.2162e-01
4.7287e+07 4.6638e-01 2.6825e+04 1.2257e+00 5.5499e+00 -7.2156e-01
4.7336e+07 4.6638e-01 2.6824e+04 1.2258e+00 5.5498e+00 -7.2151e-01
4.7385e+07 4.6638e-01 2.6824e+04 1.2259e+00 5.5497e+00 -7.2145e-01
4.7433e+07 4.6638e-01 2.6824e+04 1.2260e+00 5.5496e+00 -7.2139e-01
4.7481e+07 4.6638e-01 2.6824e+04 1.2261e+00 5.5495e+00 -7.2134e-01
4.7528e+07 4.6638e-01 2.6823e+04 1.2262e+00 5.5494e+00 -7.2128e-01
4.7575e+07 4.6638e-01 2.6823e+04 1.2262e+00 5.5493e+00 -7.2123e-01
4.7622e+07 4.6638e-01 2.6822e+04 1.2263e+00 5.5492e+00 -7.2118e-01
4.7668e+07 4.6638e-01 2.6822e+04 1.2264e+00 5.5491e+00 -7.2112e-01
4.7713e+07 4.6638e-01 2.6822e+04 1.2265e+00 5.5489e+00 -7.2107e-01
4.7757e+07 4.6638e-01 2.6821e+04 1.2266e+00 5.5488e+00 -7.2101e-01
4.7801e+07 4.6638e-01 2.6821e+04 1.2267e+00 5.5487e+00 -7.2096e-01
4.7844e+07 4.6638e-01 2.6821e+04 1.2268e+00 5.5486e+00 -7.2091e-01
4.7887e+07 4.6638e-01 2.6820e+04 1.2268e+00 5.5485e+00 -7.2086e-01
4.7930e+07 4.6638e-01 2.6820e+04 1.2269e+00 5.5484e+00 -7.2081e-01
4.7972e+07 4.6638e-01 2.6820e+04 1.2270e+00 5.5483e+00 -7.2076e-01
4.8013e+07 4.6638e-01 2.6819e+04 1.2271e+00 5.5482e+00 -7.2071e-01
4.8055e+07 4.6638e-01 2.6819e+04 1.2271e+00 5.5481e+00 -7.2066e-01
4.8095e+07 4.6638e-01 2.6819e+04 1.2272e+00 5.5480e+00 -7.2061e-01
4.8135e+07 4.6638e-01 2.6818e+04 1.2273e+00 5.5479e+00 -7.2056e-01
4.8174e+07 4.6638e-01 2.6818e+04 1.2274e+00 5.5478e+00 -7.2051e-01
4.8213e+07 4.6638e-01 2.6818e+04 1.2275e+00 5.5477e+00 -7.2047e-01
4.8252e+07 4.6638e-01 2.6817e+04 1.2275e+00 5.5476e+00 -7.2042e-01
4.8290e+07 4.6638e-01 2.6817e+04 1.2276e+00 5.5476e+00 -7.2037e-01
4.8328e+07 4.6638e-01 2.6817e+04 1.2277e+00 5.5475e+00 -7.2033e-01
4.8365e+07 4.6638e-01 2.6817e+04 1.2277e+00 5.5474e+00 -7.2028e-01
4.8402e+07 4.6638e-01 2.6816e+04 1.2278e+00 5.5473e+00 -7.2024e-01
4.8439e+07 4.6638e-01 2.6816e+04 1.2279e+00 5.5472e+00 -7.2019e-01
4.8475e+07 4.6638e-01 2.6816e+04 1.2280e+00 5.5471e+00 -7.2015e-01
4.8510e+07 4.6638e-01 2.6816e+04 1.2280e+00 5.5470e+00 -7.2011e-01
4.8545e+07 4.6638e-01 2.6815e+04 1.2281e+00 5.5469e+00 -7.2006e-01
4.8580e+07 4.6638e-01 2.6815e+04 1.2282e+00 5.5469e+00 -7.2002e-01
4.8615e+07 4.6638e-01 2.6815e+04 1.2282e+00 5.5468e+00 -7.1998e-01
4.8649e+07 4.6638e-01 2.6815e+04 1.2283e+00 5.5467e+00 -7.1994e-01
4.8683e+07 4.6638e-01 2.6814e+04 1.2284e+00 5.5466e+00 -7.1990e-01
4.8717e+07 4.6638e-01 2.6814e+04 1.2284e+00 5.5465e+00 -7.1986e-01
4.8750e+07 4.6638e-01 2.6814e+04 1.2285e+00 5.5465e+00 -7.1982e-01
4.8783e+07 4.6638e-01 2.6814e+04 1.2286e+00 5.5464e+00 -7.1978e-01
4.8815e+07 4.6638e-01 2.6813e+04 1.2286e+00 5.5463e+00 -7.1974e-01
4.8847e+07 4.6638e-01 2.6813e+04 1.2287e+00 5.5462e+00 -7.1970e-01
4.8879e+07 4.6638e-01 2.6813e+04 1.2287e+00 5.5461e+00 -7.1967e-01
4.8910e+07 4.6638e-01 2.6813e+04 1.2288e+00 5.5461e+00 -7.1963e-01
4.8941e+07 4.6638e-01 2.6813e+04 1.2289e+00 5.5460e+00 -7.1959e-01
4.8972e+07 4.6638e-01 2.6812e+04 1.2289e+00 5.5459e+00 -7.1956e-01
